soi,requirement,frequency
con90,req_25,1.0
con90,req_26,0.25
con90,req_27,1.0
con90,req_28,0.25
con90,req_29,0.0
con90,req_30,0.0
con90,req_31,0.0
con90,req_32,0.0
con90,req_33,0.0
con90,req_34,0.0
con90,req_35,0.0
con90,req_36,0.0
con90,req_37,0.0
con90,req_38,0.0
con90,req_39,0.75
con90,req_40,0.0
con90,req_41,0.0
con90,req_42,1.0
